id,title,url,author,status,created_at,updated_at,published_at,featured,tags,post_access,email_recipients,newsletter_name,sends,opens,clicks,signups,paid_conversions,feedback_more_like_this,feedback_less_like_this
64bb9fea5cfd9a0001814b3a,"Persona Marketing avec l'IA : Méthode Complète, Prompts et Exemples",https://blog.captainmarketing.io/persona-marketing-ia/,Stéphane Truphème,published and emailed,2023-07-22T09:22:50.000Z,2026-04-09T07:37:33.000Z,2026-04-09T06:19:00.000Z,false,"IA Marketing, Persona Marketing",Public,All subscribers,Captain Marketing,8,3,1,1,0,,
69d3be5dab1d920001c9f4b9,Comment Créer un Projet Claude Dédié à Ton Analyse Commerciale ?,https://blog.captainmarketing.io/analyse-commerciale-transcriptions/,Stéphane Truphème,published and emailed,2026-04-06T14:08:29.000Z,2026-04-08T11:28:54.000Z,2026-04-08T11:28:54.000Z,true,"IA Marketing, Astuces Actionnables",Public,All subscribers,Captain Marketing,34,11,1,0,0,,
63bebc7efa1ce1003d97abe7,Création de Contenu : Le Guide Complet 2026 [Méthode + IA + Checklist],https://blog.captainmarketing.io/creation-contenu/,Stéphane Truphème,published only,2020-06-17T14:08:40.000Z,2026-04-09T07:10:33.000Z,2026-04-02T12:08:00.000Z,false,"Génération d'audience, IA Marketing",Public,,,,,,1,0,,
69c816594255a30001e1aa47,Les 13 Questions Stratégiques pour Tes Appels Commerciaux B2B,https://blog.captainmarketing.io/questions-decouverte-appels-commerciaux-b2b/,Stéphane Truphème,published and emailed,2026-03-28T17:56:41.000Z,2026-04-08T11:26:33.000Z,2026-04-01T06:18:05.000Z,true,IA Marketing,Public,All subscribers,Captain Marketing,34,10,1,0,0,,
69c9450c4255a30001e1aa75,Neuromarketing B2B : les techniques validées par la science (et comment l'IA t'aide à les appliquer),https://blog.captainmarketing.io/neuromarketing-b2b-techniques-science-ia/,Stéphane Truphème,published and emailed,2026-03-29T15:28:12.000Z,2026-03-29T16:25:19.000Z,2026-03-29T16:25:19.000Z,true,"Astuces Actionnables, Stratégie Marketing, IA Marketing",Public,All subscribers,Captain Marketing,33,10,2,0,0,,
69bd6b4d6cc83e0001aa721b,Les meilleurs outils de transcription IA pour tes appels commerciaux (comparatif 2026),https://blog.captainmarketing.io/les-meilleurs-outils-de-transcription-ia-pour-tes-appels-commerciaux-comparatif-2026/,Stéphane Truphème,published and emailed,2026-03-20T15:44:13.000Z,2026-04-08T07:10:09.000Z,2026-03-25T06:57:45.000Z,true,"IA Marketing, Stratégie Marketing, Persona Marketing",Public,All subscribers,Captain Marketing,33,12,1,0,0,,
69a193f18399d1000180ec51,LinkedIn x Claude : Le Système pour Dynamiter ta Présence sur Linkedin (Sans Y Passer ta Vie),https://blog.captainmarketing.io/linkedin-claude-systeme-posts-ia/,Stéphane Truphème,published and emailed,2026-02-27T12:54:09.000Z,2026-03-23T11:03:34.000Z,2026-03-23T11:03:34.000Z,true,IA Marketing,Public,All subscribers,Captain Marketing,33,12,1,0,0,,
69bc298d6cc83e0001aa7210,"Créer ses supports de marque avec l'IA : cartes de visite et flyers prêts à imprimer, sans designer",https://blog.captainmarketing.io/supports-marque-ia-carte-visite-flyer/,Stéphane Truphème,published only,2026-03-19T16:51:25.000Z,2026-03-21T10:28:43.000Z,2026-03-21T10:28:43.000Z,false,IA Marketing,Public,,,,,,0,0,,
69b59789c8f7e80001612373,Transcription Conversations Commerciales : la Mine d'Or Marketing que Personne n'Exploite,https://blog.captainmarketing.io/transcription-conversations-commerciales-ia/,Stéphane Truphème,published and emailed,2026-03-14T17:14:49.000Z,2026-04-01T06:20:23.000Z,2026-03-18T08:18:02.000Z,true,"IA Marketing, Persona Marketing, Stratégie Marketing",Public,All subscribers,Captain Marketing,34,12,1,0,0,,
69adacd35e7f0000010dab2f,Pourquoi j'ai basculé sur Claude (et pourquoi tu devrais faire pareil) ?,https://blog.captainmarketing.io/pourquoi-utiliser-claude/,Stéphane Truphème,published and emailed,2026-03-08T17:07:31.000Z,2026-03-28T14:27:23.000Z,2026-03-11T12:15:28.000Z,false,"IA Marketing, Stratégie Marketing",Public,All subscribers,Captain Marketing,33,11,4,1,0,,
69a001b10d8f460001337442,"IA en entreprise : es-tu vraiment en retard, ou juste noyé dans le bruit ?",https://blog.captainmarketing.io/ia-en-entreprise-fomo/,Stéphane Truphème,published and emailed,2026-02-26T08:17:53.000Z,2026-03-28T14:27:14.000Z,2026-02-27T07:35:59.000Z,false,IA Marketing,Public,All subscribers,Captain Marketing,32,15,2,0,0,,
69998ba94392ec0001caa5ce,Prompts ChatGPT Prospection B2B : le système complet pour vendre avec l'IA,https://blog.captainmarketing.io/prompts-chatgpt-prospection-b2b/,Stéphane Truphème,published and emailed,2026-02-21T10:40:41.000Z,2026-03-28T14:27:04.000Z,2026-02-23T14:27:59.000Z,false,"IA Marketing, Génération de Leads, Stratégie Marketing",Public,All subscribers,Captain Marketing,31,14,2,1,0,,
67f3e7e5fe54f900015a4bd6,Comment auditer ton profil Linkedin avec l'IA ?,https://blog.captainmarketing.io/prompt-auditer-profil-linkedin-ia/,Stéphane Truphème,published and emailed,2025-04-07T14:57:41.000Z,2026-04-09T06:26:31.000Z,2026-02-14T09:33:00.000Z,false,"Astuces Actionnables, Travailler en Liberté 🕺🏻",Public,All subscribers,Captain Marketing,15,7,1,0,0,,
6985d207ee6e46000117057c,Stratégie de notoriété PME : comment devenir top of mind (sans budget pub de fou),https://blog.captainmarketing.io/strategie-notoriete-pme-top-of-mind/,Stéphane Truphème,published and emailed,2026-02-06T11:35:35.000Z,2026-03-28T14:26:54.000Z,2026-02-11T07:01:48.000Z,false,"Génération de Leads, Stratégie Marketing",Public,All subscribers,Captain Marketing,30,10,4,0,0,,
697f83ac797db30001350d21,3 Types de Contenu Marketing Efficaces : la Méthode SES pour Scaler & Sortir du Chaos,https://blog.captainmarketing.io/3-types-contenu-marketing-efficaces/,Stéphane Truphème,published only,2026-02-01T16:47:40.000Z,2026-03-28T14:26:45.000Z,2026-02-07T16:25:52.000Z,false,"Stratégie Marketing, Génération d'audience",Public,,,,,,0,0,,
697d012a797db30001350cc7,13+ Hacks Marketing Surprenants pour Booster tes Résultats en 2026,https://blog.captainmarketing.io/13-hacks-marketing-2026/,Stéphane Truphème,published and emailed,2026-01-30T19:06:18.000Z,2026-03-28T14:26:36.000Z,2026-02-04T07:18:32.000Z,false,"Astuces Actionnables, Stratégie Marketing",Public,All subscribers,Captain Marketing,30,8,2,0,0,,
697874f2afdf3000013fd941,19 Astuces Marketing à chiper de suite,https://blog.captainmarketing.io/19-astuces-marketing/,Stéphane Truphème,published and emailed,2026-01-27T08:18:58.000Z,2026-03-28T14:26:25.000Z,2026-01-28T09:37:18.000Z,false,Astuces Actionnables,Public,All subscribers,Captain Marketing,29,11,2,0,0,,
696bccd76105990001ae4ded,Idées Marketing 2026 : des idées tellement sexy qu'elles devraient être censurées,https://blog.captainmarketing.io/meilleures-idees-marketing-2026/,Stéphane Truphème,published and emailed,2026-01-17T17:54:31.000Z,2026-03-28T14:26:16.000Z,2026-01-21T09:39:59.000Z,false,"Astuces Actionnables, Stratégie Marketing",Public,All subscribers,Captain Marketing,29,10,1,0,0,,
